Time (sec),Q1,Q2,T1,T2,Set Point 1 (degC),Set Point 2 (degC)
234.00000000,20.00000000,0.00000000,58.88713953,31.95468675,23.00000000,23.00000000
235.00000000,20.00000000,0.00000000,58.78055416,31.99226832,23.00000000,23.00000000
236.00000000,20.00000000,0.00000000,58.67218818,32.02921118,23.00000000,23.00000000
237.00000000,20.00000000,0.00000000,58.56217508,32.06551515,23.00000000,23.00000000
238.00000000,20.00000000,0.00000000,58.45064206,32.10118049,23.00000000,23.00000000
239.00000000,20.00000000,0.00000000,58.33771038,32.13620780,23.00000000,23.00000000
240.00000000,20.00000000,0.00000000,58.22349557,32.17059811,23.00000000,23.00000000
241.00000000,20.00000000,0.00000000,58.10810769,32.20435274,23.00000000,23.00000000
242.00000000,20.00000000,0.00000000,57.99165157,32.23747337,23.00000000,23.00000000
243.00000000,20.00000000,0.00000000,57.87422704,32.26996199,23.00000000,23.00000000
244.00000000,20.00000000,0.00000000,57.75592912,32.30182086,23.00000000,23.00000000
245.00000000,20.00000000,0.00000000,57.63684829,32.33305254,23.00000000,23.00000000
246.00000000,20.00000000,0.00000000,57.51707062,32.36365982,23.00000000,23.00000000
247.00000000,20.00000000,0.00000000,57.39667800,32.39364575,23.00000000,23.00000000
248.00000000,20.00000000,0.00000000,57.27574832,32.42301361,23.00000000,23.00000000
249.00000000,20.00000000,0.00000000,57.15435563,32.45176687,23.00000000,23.00000000
250.00000000,20.00000000,0.00000000,57.03257033,32.47990922,23.00000000,23.00000000
251.00000000,20.00000000,0.00000000,56.91045931,32.50744454,23.00000000,23.00000000
252.00000000,20.00000000,0.00000000,56.78808611,32.53437685,23.00000000,23.00000000
253.00000000,20.00000000,0.00000000,56.66551108,32.56071037,23.00000000,23.00000000
254.00000000,20.00000000,0.00000000,56.54279150,32.58644946,23.00000000,23.00000000
255.00000000,20.00000000,0.00000000,56.41998173,32.61159860,23.00000000,23.00000000
256.00000000,20.00000000,0.00000000,56.29713332,32.63616243,23.00000000,23.00000000
257.00000000,20.00000000,0.00000000,56.17429517,32.66014569,23.00000000,23.00000000
258.00000000,20.00000000,0.00000000,56.05151362,32.68355323,23.00000000,23.00000000
259.00000000,20.00000000,0.00000000,55.92883255,32.70639001,23.00000000,23.00000000
260.00000000,20.00000000,0.00000000,55.80629353,32.72866109,23.00000000,23.00000000
261.00000000,20.00000000,0.00000000,55.68393589,32.75037161,23.00000000,23.00000000
262.00000000,20.00000000,0.00000000,55.56179684,32.77152677,23.00000000,23.00000000
263.00000000,20.00000000,0.00000000,55.43991154,32.79213187,23.00000000,23.00000000
264.00000000,20.00000000,0.00000000,55.31831323,32.81219225,23.00000000,23.00000000
265.00000000,20.00000000,0.00000000,55.19703327,32.83171333,23.00000000,23.00000000
266.00000000,20.00000000,0.00000000,55.07610127,32.85070057,23.00000000,23.00000000
267.00000000,20.00000000,0.00000000,54.95554512,32.86915947,23.00000000,23.00000000
268.00000000,20.00000000,0.00000000,54.83539113,32.88709558,23.00000000,23.00000000
269.00000000,20.00000000,0.00000000,54.71566402,32.90451447,23.00000000,23.00000000
270.00000000,20.00000000,0.00000000,54.59638708,32.92142176,23.00000000,23.00000000
271.00000000,20.00000000,0.00000000,54.47758214,32.93782308,23.00000000,23.00000000
272.00000000,20.00000000,0.00000000,54.35926975,32.95372408,23.00000000,23.00000000
273.00000000,20.00000000,0.00000000,54.24146914,32.96913044,23.00000000,23.00000000
